Gardien;;;;;;;;;;;
;Club;Nom et prenom;age;min de jeu;bute en caisser;;;;;;
1;HILAL;Yassine Bounou;34;1980;18;;https://www.fotmob.com/fr/players/340020/yassine-bounou;;;;
2;FAR;Ahmed Reda Tagnaouti;29;1163;;;https://www.fotmob.com/fr/players/885288/ahmed-tagnaouti;;;;
3;Raja;El Mehdi al harrar;24;1530;;;https://www.fotmob.com/fr/players/1687452/el-mehdi-al-harrar;;;;
Diffence;;;;;;;;;;;
;Club;Nom et prenom;age;min de jeu;passes;But;;;;;
4;RCD Espanyol;Omar El Hilali;22;2547;2;;https://www.fotmob.com/fr/players/1208708/omar-el-hilali;;;;
5;PSG;Achraf Hakimi;26;1374;2;2;https://www.fotmob.com/fr/players/770881/achraf-hakimi;;;;
6;Fulham;Issa Diop;29;593;;;https://www.fotmob.com/fr/players/696443/issa-diop;;;;
7;KV Mechelen (Belgique);Redouane Halhal;22;2489;1;2;https://www.fotmob.com/fr/players/1298186/redouane-halhal;;;;
8;Cambuur (Belgique);Ismaël Baouf;19;2608;1;6;https://www.fotmob.com/fr/players/1572671/ismael-baouf;;;;
9;Getafe;abdelkabir Abqar;26;1259;1;;https://www.fotmob.com/fr/players/956921/abdel-abqar;;;;
10;Manchister Utd;Noussair Mazraoui;27;820;;;https://www.fotmob.com/fr/players/775539/noussair-mazraoui;;;;
11;PSV;Anass salah eddine;23;1022;;;https://www.fotmob.com/fr/players/1050838/anass-salah-eddine;;;;
Milieux;;;;;;;;;;;
;Club;Nom et prenom;age;min de jeu;passes;But;;;;;
12;PSV;Ismael Saibari;24;2126;8;15;https://www.fotmob.com/fr/players/1180288/ismael-saibari;;;;
13;Sttutgart;Bilal El Khannouss;21;1622;5;4;https://www.fotmob.com/fr/players/1340895/bilal-el-khannouss;;;;
14;Gerona;Azzeddine Ounahi;25;1436;2;5;https://www.fotmob.com/fr/players/1073143/azzedine-ounahi;;;;
15;As ROMA;Elaynaoui naeil;24;825;2;1;https://www.fotmob.com/fr/players/1274060/neil-el-aynaoui;;;;
16;Strasbourg;Samir El Mourabet;20;1955;2;1;https://www.fotmob.com/fr/players/1598170/samir-el-mourabet;;;;
17;Watford;Imran Louza;26;3587;9;7;https://www.fotmob.com/fr/players/993022/imran-louza;;;;
;Lille;Ayyoub Bouaddi;18;2194;1;;https://www.fotmob.com/fr/players/1561552/ayyoub-bouaddi;;;;
18;Real Betis;Sofyan Amrabat;29;1105;;;https://www.fotmob.com/fr/players/593116/sofyan-amrabat;;;;
Attaquants;;;;;;;;;;;
;Club;Nom et prenom;age;min de jeu;passes;But;;;;;
19;Olympiacos;Ayoub Kaabi;32;1952;2;18;https://www.fotmob.com/fr/players/884382/ayoub-el-kaabi;;;;
20;ELITIHAD;Youssef En-Nesyri;28;781;;5;https://www.fotmob.com/fr/players/788555/youssef-en-nesyri;;;;
21;Real BETIS;Abde Ezzalzouli ;23;1923;8;8;https://www.fotmob.com/fr/players/1209399/abde-ezzalzouli;;;;
22;Real Madrid;Brahim Díaz;26;1003;5;;https://www.fotmob.com/fr/players/750027/brahim-diaz;;;;
23;Estoril;Yanis Begraoui;24;2546;1;20;https://www.fotmob.com/fr/players/933639/yanis-begraoui;;;;
24;Rayo vallcano;Ilyas Akhoumach;21;1074;1;;https://www.fotmob.com/fr/players/1311915/ilias-akhomach;;;;
25;Sunderland;Chemsdine Talbi;20;1452;1;4;https://www.fotmob.com/fr/players/1368654/chemsdine-talbi;;;;
26;Dunkerque;Gessime Yassine;19;1216;5;1;https://www.fotmob.com/fr/players/1603755/gessime-yassine;;;;
