Poste;club;Nom;Age;min;Buts encaissés;Column7;Lien direct
Gardien;HILAL;Yassine Bounou;34;1980;18;;https://www.fotmob.com/fr/players/340020/yassine-bounou
;Raja;El Mehdi al harrar;24;1530;;;https://www.fotmob.com/fr/players/1687452/el-mehdi-al-harrar
;RSB;Munir Mohamedi;36;270;2;;Munir Mohamedi - statistiques, parcours et valeur marchande
;WAC;El Mehdi Benabid;27;1530;;;https://www.fotmob.com/fr/players/1106910/el-mehdi-benabid
;FAR;Ahmed Reda Tagnaouti;29;1163;;;https://www.fotmob.com/fr/players/885288/ahmed-tagnaouti
;Monaco;Yanis Benchaouch;19;424;;;https://www.fotmob.com/fr/players/1815197/yanis-benchaouch
;;;;;;;
Poste;club;Nom;Age;min;Passes décisives;Buts;Lien direct
Défenseurs;Pyramide;Chibi mohamed;33;1781;6;2;https://www.fotmob.com/fr/players/825009/mohamed-chibi
;Fulham;Issa Diop;29;593;;;https://www.fotmob.com/fr/players/696443/issa-diop
;FAR;Marouane Louadni;31;1440;;;https://www.fotmob.com/fr/players/903394/marouane-louadni
;OM;Nayef Aguerd;29;1399;0;1;https://www.fotmob.com/fr/players/617310/nayef-aguerd
;PSV;Anass salah eddine;23;1022;;;https://www.fotmob.com/fr/players/1050838/anass-salah-eddine
;PSG;Achraf Hakimi;26;1374;2;2;https://www.fotmob.com/fr/players/770881/achraf-hakimi
;Saragouss;EL yamiq jawad;33;900;1;2;https://www.fotmob.com/fr/players/798736/jawad-el-yamiq
;Rennes;abdelhamid Ait Boudlal;19;1222;1;2;https://www.fotmob.com/fr/players/1581722/abdelhamid-ait-boudlal
;AL sadd;Saîss Roman;35;695;;;https://www.fotmob.com/fr/players/292678/romain-saiss
;Manchister Utd;Noussair Mazraoui;27;820;;;https://www.fotmob.com/fr/players/775539/noussair-mazraoui
;Torino FC;Adam Massina;31;232;1;;https://www.fotmob.com/fr/players/500502/adam-masina
;KV Mechelen (Belgique);Redouane Halhal;22;2489;1;2;https://www.fotmob.com/fr/players/1298186/redouane-halhal
;Utrecht;Souffian El Karouani;25;2653;10;2;https://www.fotmob.com/fr/players/1079500/souffian-el-karouani
;KRC Genk;Zakaria El Ouahdi;24;2645;3;8;https://www.fotmob.com/fr/players/1287871/zakaria-el-ouahdi
;RCD Espanyol;Omar El Hilali;22;2547;2;;https://www.fotmob.com/fr/players/1208708/omar-el-hilali
;Ahly;Youssef Belammari;27;626;;;https://www.fotmob.com/fr/players/909908/youssef-belammari
;Sochi;Yahya Attiat Allah;30;647;1;;https://www.fotmob.com/fr/players/903233/yahia-attiyat-allah
;Cambuur (Belgique);Ismaël Baouf;19;2608;1;6;https://www.fotmob.com/fr/players/1572671/ismael-baouf
;Alavés;Youssef Enriquez;20;1264;1;;https://www.fotmob.com/fr/players/1403692/youssef-enriquez
;Getafe;abdelkabir Abqar;26;1259;1;;https://www.fotmob.com/fr/players/956921/abdel-abqar
;WAC;Ayman El Wafi;21;458;;;https://www.fotmob.com/fr/players/1510008/ayman-el-wafi
;Ahly;Achraf dari;26;524;;1;https://www.fotmob.com/fr/players/971617/achraf-dari
;Everton FC U21;Adam Aznou;19;171;;;https://www.fotmob.com/fr/players/1573563/adam-aznou
;Crystal Palace;Chadi Riad;22;390;1;;https://www.fotmob.com/fr/players/1187506/chadi-riad
;;;;;;;
Poste;club;Nom;Age;min;Passes décisives;Buts;Lien direct
Milieux;PSV;Ismael Saibari;24;2126;8;15;https://www.fotmob.com/fr/players/1180288/ismael-saibari
;Sttutgart;Bilal El Khannouss;21;1622;5;4;https://www.fotmob.com/fr/players/1340895/bilal-el-khannouss
;Feyenoord;Oussama Targhalline;23;1733;4;2;https://www.fotmob.com/fr/players/1228273/oussama-targhalline
;Gerona;Azzeddine Ounahi;25;1436;2;5;https://www.fotmob.com/fr/players/1073143/azzedine-ounahi
;Real Betis;Sofyan Amrabat;29;1105;;;https://www.fotmob.com/fr/players/593116/sofyan-amrabat
;As ROMA;Elaynaoui naeil;24;825;2;1;https://www.fotmob.com/fr/players/1274060/neil-el-aynaoui
;Schalk 04;Soufian El-Faouzi;23;2840;5;2;https://www.fotmob.com/fr/players/1249185/soufian-el-faouzi
;Watford;Imran Louza;26;3587;9;7;https://www.fotmob.com/fr/players/993022/imran-louza
;Lille;Ayyoub Bouaddi;18;2194;1;;https://www.fotmob.com/fr/players/1561552/ayyoub-bouaddi
;FAR;Anas Bach;27;1453;;1;https://www.fotmob.com/fr/players/1007711/anas-bach
;Fortuna;Mohamed Ihattaren;23;1901;10;6;https://www.fotmob.com/fr/players/1015183/mohammed-ihattaren
;FAR;Mohamed Rabie Hrimat;31;1343;;7;https://www.fotmob.com/fr/players/1260147/mohamed-rabie-hrimat
;WAC;Naïm Byar;20;291;;;https://www.fotmob.com/fr/players/1366620/naim-byar
;Basaksehir;Amine Harit ;28;1436;3;2;https://www.fotmob.com/fr/players/780815/amine-harit
;Marseille;Bilal Nadir;22;590;4;;https://www.fotmob.com/fr/players/1283407/bilal-nadir
;Auxerre;Oussama El Azzouzi;24;813;;1;https://www.fotmob.com/fr/players/1283469/oussama-el-azzouzi
;Lazio;Reda belhayan;21;515;1;;https://www.fotmob.com/fr/players/1388071/reda-belahyane
;Panathiniaqos;Anass Zaroury;25;1460;4;2;https://www.fotmob.com/fr/players/1069536/anass-zaroury
;Strasbourg;Samir El Mourabet;20;1955;2;1;https://www.fotmob.com/fr/players/1598170/samir-el-mourabet
;QPR;Ilias Chair;28;944;2;1;https://www.fotmob.com/fr/players/676504/ilias-chair
